"LocationID","Borough","Zone","service_zone"
1,"EWR","Newark Airport","EWR"
2,"Queens","Jamaica Bay","BORO"
3,"Bronx","Allerton/Pelham Gardens","BORO"
4,"Manhattan","Alphabet City","yeLLow"
5,"Staten Island","Arden Heights","BORO"
6,"Staten Island","Arrochar/Fort Wadsworth","BORO"
7,"Queens","Astoria","bOrO"
8,"Queens","Astoria Park","BORO"
9,"Queens","Auburndale","BORO"
10,"Queens","Baisley Park","BORO"
11,"Brooklyn","Bath Beach","Boro"
12,"Manhattan","Battery Park","YELLOW"
13,"Manhattan","Battery Park City","yeLLow"
14,"Brooklyn","Bay Ridge","BORO"
15,"Queens","Bay Terrace/Fort Totten","BORO"
16,"Queens","Bayside","BORO"
17,"Brooklyn","Bedford","BORO"
18,"Bronx","Bedford Park","BORO"
19,"Queens","Bellerose","BORO"
20,"Bronx","Belmont","BORO"
21,"Brooklyn","Bensonhurst East","BORO"
22,"Brooklyn","Bensonhurst West","BORO"
23,"Staten Island","Bloomfield/Emerson Hill","BORO"
24,"Manhattan","Bloomingdale","YELLOW"
25,"Brooklyn","Boerum Hill","BORO"
26,"Brooklyn","Borough Park","BORO"
27,"Queens","Breezy Point/Fort Tilden/Riis Beach","BORO"
28,"Queens","Briarwood/Jamaica Hills","BORO"
29,"Brooklyn","Brighton Beach","BORO"
30,"Queens","Broad Channel","BORO"
31,"Bronx","Bronx Park","BORO"
32,"Bronx","Bronxdale","BORO"
33,"Brooklyn","Brooklyn Heights","BORO"
34,"Brooklyn","Brooklyn Navy Yard","BORO"
35,"Brooklyn","Brownsville","BORO"
36,"Brooklyn","Bushwick North","BORO"
37,"Brooklyn","Bushwick South","BORO"
38,"Queens","Cambria Heights","BORO"
39,"Brooklyn","Canarsie","BORO"
40,"Brooklyn","Carroll Gardens","BORO"
41,"Manhattan","Central Harlem","BORO"
42,"Manhattan","Central Harlem North","BORO"
43,"Manhattan","Central Park","YELLOW"
44,"Staten Island","Charleston/Tottenville","BORO"
45,"Manhattan","Chinatown","YELLOW"
46,"Bronx","City Island","BORO"
47,"Bronx","Claremont/Bathgate","BORO"
48,"Manhattan","Clinton East","YELLOW"
49,"Brooklyn","Clinton Hill","BORO"
50,"Manhattan","Clinton West","YELLOW"
51,"Bronx","Co-Op City","BORO"
52,"Brooklyn","Cobble Hill","BORO"
53,"Queens","College Point","BORO"
54,"Brooklyn","Columbia Street","BORO"
55,"Brooklyn","Coney Island","BORO"
56,"Queens","Corona","BORO"
57,"Queens","Corona","BORO"
58,"Bronx","Country Club","BORO"
59,"Bronx","Crotona Park","BORO"
60,"Bronx","Crotona Park East","BORO"
61,"Brooklyn","Crown Heights North","BORO"
62,"Brooklyn","Crown Heights South","BORO"
63,"Brooklyn","Cypress Hills","BORO"
64,"Queens","Douglaston","BORO"
65,"Brooklyn","Downtown Brooklyn/MetroTech","BORO"
66,"Brooklyn","DUMBO/Vinegar Hill","BORO"
67,"Brooklyn","Dyker Heights","BORO"
68,"Manhattan","East Chelsea","YELLOW"
69,"Bronx","East Concourse/Concourse Village","BORO"
70,"Queens","East Elmhurst","BORO"
71,"Brooklyn","East Flatbush/Farragut","BORO"
72,"Brooklyn","East Flatbush/Remsen Village","BORO"
73,"Queens","East Flushing","BORO"
74,"Manhattan","East Harlem North","BORO"
75,"Manhattan","East Harlem South","BORO"
76,"Brooklyn","East New York","BORO"
77,"Brooklyn","East New York/Pennsylvania Avenue","BORO"
78,"Bronx","East Tremont","BORO"
79,"Manhattan","East Village","YELLOW"
80,"Brooklyn","East Williamsburg","BORO"
81,"Bronx","Eastchester","BORO"
82,"Queens","Elmhurst","BORO"
83,"Queens","Elmhurst/Maspeth","BORO"
84,"Staten Island","Eltingville/Annadale/Prince's Bay","BORO"
85,"Brooklyn","Erasmus","BORO"
86,"Queens","Far Rockaway","BORO"
87,"Manhattan","Financial District North","YELLOW"
88,"Manhattan","Financial District South","YELLOW"
89,"Brooklyn","Flatbush/Ditmas Park","BORO"
90,"Manhattan","Flatiron","YELLOW"
91,"Brooklyn","Flatlands","BORO"
92,"Queens","Flushing","BORO"
93,"Queens","Flushing Meadows-Corona Park","BORO"
94,"Bronx","Fordham South","BORO"
95,"Queens","Forest Hills","BORO"
96,"Queens","Forest Park/Highland Park","BORO"
97,"Brooklyn","Fort Greene","BORO"
98,"Queens","Fresh Meadows","BORO"
99,"Staten Island","Freshkills Park","BORO"
100,"Manhattan","Garment District","YELLOW"
101,"Queens","Glen Oaks","BORO"
102,"Queens","Glendale","BORO"
103,"Manhattan","Governor's Island/Ellis Island/Liberty Island","YELLOW"
104,"Manhattan","Governor's Island/Ellis Island/Liberty Island","YELLOW"
105,"Manhattan","Governor's Island/Ellis Island/Liberty Island","YELLOW"
106,"Brooklyn","Gowanus","BORO"
107,"Manhattan","Gramercy","YELLOW"
108,"Brooklyn","Gravesend","BORO"
109,"Staten Island","Great Kills","BORO"
110,"Staten Island","Great Kills Park","BORO"
111,"Brooklyn","Green-Wood Cemetery","BORO"
112,"Brooklyn","Greenpoint","BORO"
113,"Manhattan","Greenwich Village North","YELLOW"
114,"Manhattan","Greenwich Village South","YELLOW"
115,"Staten Island","Grymes Hill/Clifton","BORO"
116,"Manhattan","Hamilton Heights","BORO"
117,"Queens","Hammels/Arverne","BORO"
118,"Staten Island","Heartland Village/Todt Hill","BORO"
119,"Bronx","Highbridge","BORO"
120,"Manhattan","Highbridge Park","BORO"
121,"Queens","Hillcrest/Pomonok","BORO"
122,"Queens","Hollis","BORO"
123,"Brooklyn","Homecrest","BORO"
124,"Queens","Howard Beach","BORO"
125,"Manhattan","Hudson Sq","YELLOW"
126,"Bronx","Hunts Point","BORO"
127,"Manhattan","Inwood","BORO"
128,"Manhattan","Inwood Hill Park","BORO"
129,"Queens","Jackson Heights","BORO"
130,"Queens","Jamaica","BORO"
131,"Queens","Jamaica Estates","BORO"
132,"Queens","JFK Airport","AIRPORTS"
133,"Brooklyn","Kensington","BORO"
134,"Queens","Kew Gardens","BORO"
135,"Queens","Kew Gardens Hills","BORO"
136,"Bronx","Kingsbridge Heights","BORO"
137,"Manhattan","Kips Bay","YELLOW"
138,"Queens","LaGuardia Airport","AIRPORTS"
139,"Queens","Laurelton","BORO"
140,"Manhattan","Lenox Hill East","YELLOW"
141,"Manhattan","Lenox Hill West","YELLOW"
142,"Manhattan","Lincoln Square East","YELLOW"
143,"Manhattan","Lincoln Square West","YELLOW"
144,"Manhattan","Little Italy/NoLiTa","YELLOW"
145,"Queens","Long Island City/Hunters Point","BORO"
146,"Queens","Long Island City/Queens Plaza","BORO"
147,"Bronx","Longwood","BORO"
148,"Manhattan","Lower East Side","YELLOW"
149,"Brooklyn","Madison","BORO"
150,"Brooklyn","Manhattan Beach","BORO"
151,"Manhattan","Manhattan Valley","YELLOW"
152,"Manhattan","Manhattanville","BORO"
153,"Manhattan","Marble Hill","BORO"
154,"Brooklyn","Marine Park/Floyd Bennett Field","BORO"
155,"Brooklyn","Marine Park/Mill Basin","BORO"
156,"Staten Island","Mariners Harbor","BORO"
157,"Queens","Maspeth","BORO"
158,"Manhattan","Meatpacking/West Village West","YELLOW"
159,"Bronx","Melrose South","BORO"
160,"Queens","Middle Village","BORO"
161,"Manhattan","Midtown Center","YELLOW"
162,"Manhattan","Midtown East","YELLOW"
163,"Manhattan","Midtown North","YELLOW"
164,"Manhattan","Midtown South","YELLOW"
165,"Brooklyn","Midwood","BORO"
166,"Manhattan","Morningside Heights","BORO"
167,"Bronx","Morrisania/Melrose","BORO"
168,"Bronx","Mott Haven/Port Morris","BORO"
169,"Bronx","Mount Hope","BORO"
170,"Manhattan","Murray Hill","YELLOW"
171,"Queens","Murray Hill-Queens","BORO"
172,"Staten Island","New Dorp/Midland Beach","BORO"
173,"Queens","North Corona","BORO"
174,"Bronx","Norwood","BORO"
175,"Queens","Oakland Gardens","BORO"
176,"Staten Island","Oakwood","BORO"
177,"Brooklyn","Ocean Hill","BORO"
178,"Brooklyn","Ocean Parkway South","BORO"
179,"Queens","Old Astoria","BORO"
180,"Queens","Ozone Park","BORO"
181,"Brooklyn","Park Slope","BORO"
182,"Bronx","Parkchester","BORO"
183,"Bronx","Pelham Bay","BORO"
184,"Bronx","Pelham Bay Park","BORO"
185,"Bronx","Pelham Parkway","BORO"
186,"Manhattan","Penn Station/Madison Sq West","YELLOW"
187,"Staten Island","Port Richmond","BORO"
188,"Brooklyn","Prospect-Lefferts Gardens","BORO"
189,"Brooklyn","Prospect Heights","BORO"
190,"Brooklyn","Prospect Park","BORO"
191,"Queens","Queens Village","BORO"
192,"Queens","Queensboro Hill","BORO"
193,"Queens","Queensbridge/Ravenswood","BORO"
194,"Manhattan","Randalls Island","YELLOW"
195,"Brooklyn","Red Hook","BORO"
196,"Queens","Rego Park","BORO"
197,"Queens","Richmond Hill","BORO"
198,"Queens","Ridgewood","BORO"
199,"Bronx","Rikers Island","BORO"
200,"Bronx","Riverdale/North Riverdale/Fieldston","BORO"
201,"Queens","Rockaway Park","BORO"
202,"Manhattan","Roosevelt Island","BORO"
203,"Queens","Rosedale","BORO"
204,"Staten Island","Rossville/Woodrow","BORO"
205,"Queens","Saint Albans","BORO"
206,"Staten Island","Saint George/New Brighton","BORO"
207,"Queens","Saint Michaels Cemetery/Woodside","BORO"
208,"Bronx","Schuylerville/Edgewater Park","BORO"
209,"Manhattan","Seaport","YELLOW"
210,"Brooklyn","Sheepshead Bay","BORO"
211,"Manhattan","SoHo","YELLOW"
212,"Bronx","Soundview/Bruckner","BORO"
213,"Bronx","Soundview/Castle Hill","BORO"
214,"Staten Island","South Beach/Dongan Hills","BORO"
215,"Queens","South Jamaica","BORO"
216,"Queens","South Ozone Park","BORO"
217,"Brooklyn","South Williamsburg","BORO"
218,"Queens","Springfield Gardens North","BORO"
219,"Queens","Springfield Gardens South","BORO"
220,"Bronx","Spuyten Duyvil/Kingsbridge","BORO"
221,"Staten Island","Stapleton","BORO"
222,"Brooklyn","Starrett City","BORO"
223,"Queens","Steinway","BORO"
224,"Manhattan","Stuy Town/Peter Cooper Village","YELLOW"
225,"Brooklyn","Stuyvesant Heights","BORO"
226,"Queens","Sunnyside","BORO"
227,"Brooklyn","Sunset Park East","BORO"
228,"Brooklyn","Sunset Park West","BORO"
229,"Manhattan","Sutton Place/Turtle Bay North","YELLOW"
230,"Manhattan","Times Sq/Theatre District","YELLOW"
231,"Manhattan","TriBeCa/Civic Center","YELLOW"
232,"Manhattan","Two Bridges/Seward Park","YELLOW"
233,"Manhattan","UN/Turtle Bay South","YELLOW"
234,"Manhattan","Union Sq","YELLOW"
235,"Bronx","University Heights/Morris Heights","BORO"
236,"Manhattan","Upper East Side North","YELLOW"
237,"Manhattan","Upper East Side South","YELLOW"
238,"Manhattan","Upper West Side North","YELLOW"
239,"Manhattan","Upper West Side South","YELLOW"
240,"Bronx","Van Cortlandt Park","BORO"
241,"Bronx","Van Cortlandt Village","BORO"
242,"Bronx","Van Nest/Morris Park","BORO"
243,"Manhattan","Washington Heights North","BORO"
244,"Manhattan","Washington Heights South","BORO"
245,"Staten Island","West Brighton","BORO"
246,"Manhattan","West Chelsea/Hudson Yards","YELLOW"
247,"Bronx","West Concourse","BORO"
248,"Bronx","West Farms/Bronx River","BORO"
249,"Manhattan","West Village","YELLOW"
250,"Bronx","Westchester Village/Unionport","BORO"
251,"Staten Island","Westerleigh","BORO"
252,"Queens","Whitestone","BORO"
253,"Queens","Willets Point","BORO"
254,"Bronx","Williamsbridge/Olinville","BORO"
255,"Brooklyn","Williamsburg (North Side)","BORO"
256,"Brooklyn","Williamsburg (South Side)","BORO"
257,"Brooklyn","Windsor Terrace","BORO"
258,"Queens","Woodhaven","BORO"
259,"Bronx","Woodlawn/Wakefield","BORO"
260,"Queens","Woodside","BORO"
261,"Manhattan","World Trade Center","YELLOW"
262,"Manhattan","Yorkville East","YELLOW"
263,"Manhattan","Yorkville West","YELLOW"
264,"Unknown","NV","N/A"
265,"Unknown","NA","N/A"